total_votes,pct_latino,pct_trump,pct_clinton,state
787.0,0.869763206,0.491740788,0.481575604,fl
2637.0,0.819516408,0.50967008,0.454304133,fl
878.0,0.863599677,0.502277904,0.48405467,fl
1306.0,0.827488688,0.492343032,0.4762634,fl
1395.0,0.675443618,0.501075269,0.474551971,fl
1752.0,0.811046512,0.51826484,0.449200913,fl
1139.0,0.717092338,0.470588235,0.479367867,fl
1348.0,0.792179968,0.484421365,0.477744807,fl
1516.0,0.825513196,0.571240106,0.398416887,fl
1576.0,0.797498797,0.57106599,0.39784264,fl
1726.0,0.859177859,0.499420626,0.462340672,fl
1683.0,0.837066315,0.516339869,0.446821153,fl
1466.0,0.864720195,0.56957708,0.392905866,fl
1908.0,0.867718903,0.583333333,0.383647799,fl
1477.0,0.865865866,0.634394042,0.333107651,fl
1390.0,0.826132223,0.595683453,0.365467626,fl
1776.0,0.801479655,0.567004505,0.399211712,fl
1045.0,0.883248731,0.472727273,0.500478469,fl
1673.0,0.889760349,0.357441721,0.612671847,fl
1705.0,0.890749267,0.463343109,0.51202346,fl
1.0,0.0,1.0,0.0,fl
9.0,0.666666667,0.333333333,0.666666667,fl
1817.0,0.873739411,0.357732526,0.605943864,fl
